,<http://dbpedia.org/ontology/conservationStatusSystem>,<http://dbpedia.org/ontology/class>,<http://xmlns.com/foaf/0.1/name>,<http://dbpedia.org/ontology/order>,<http://www.w3.org/2000/01/rdf-schema#label>,<http://purl.org/dc/terms/subject>,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,<http://dbpedia.org/ontology/family>,<http://dbpedia.org/ontology/conservationStatus>,<http://dbpedia.org/ontology/phylum>,<http://dbpedia.org/ontology/kingdom>,<http://dbpedia.org/ontology/genus>
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Insects_described_in_1888>,,X,,,,X,X,,,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Insects_of_Cuba>,,X,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Animal>,,,,,,,X,,,,X,
<http://dbpedia.org/ontology/phylum>:-:<http://dbpedia.org/resource/Arthropod>,,,,,,,,,,X,,
<http://dbpedia.org/ontology/genus>:-:<http://dbpedia.org/resource/Enallagma>,,,X,,X,,,,,,,X
"<http://xmlns.com/foaf/0.1/name>:-:""Enallagma truncatum""@en",,,X,,X,,,,,,,X
"<http://dbpedia.org/ontology/conservationStatusSystem>:-:""IUCN3.1""",X,,,,,,,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Species>,,,,,,,X,,,,,
<http://dbpedia.org/ontology/kingdom>:-:<http://dbpedia.org/resource/Animal>,,,,,,,X,,,,X,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Endemic_fauna_of_Cuba>,,,,,,X,,,,,,
"<http://www.w3.org/2000/01/rdf-schema#label>:-:""Enallagma truncatum""@en",,,X,,X,,,,,,,X
<http://dbpedia.org/ontology/order>:-:<http://dbpedia.org/resource/Odonata>,,,,X,,,,,,,,
<http://dbpedia.org/ontology/family>:-:<http://dbpedia.org/resource/Coenagrionidae>,,,,,,X,,X,,,,
<http://dbpedia.org/ontology/class>:-:<http://dbpedia.org/resource/Insect>,,X,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Eukaryote>,,,,,,,X,,,,,
"<http://dbpedia.org/ontology/conservationStatus>:-:""VU""",,,,,,,,,X,,,
<http://purl.org/dc/terms/subject>:-:<http://dbpedia.org/resource/Category:Coenagrionidae>,,,,,,X,,X,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://dbpedia.org/ontology/Insect>,,X,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q729>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q19088>,,,,,,,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.w3.org/2002/07/owl#Thing>,,,,,,X,X,,,,,
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>:-:<http://www.wikidata.org/entity/Q1390>,,,,,,,X,,,,,
